location_key,gdp_usd,gdp_per_capita_usd,human_capital_index
AD,3154057987.0,40886.0,
AE,421142267937.0,43103.0,0.659
AF,19101353832.0,502.0,0.389
AG,1727759259.0,17790.0,
AL,15278077446.0,5352.0,0.621
AM,13672802157.0,4622.0,0.572
AO,94635415869.0,2973.0,0.361
AR,449663446954.0,10006.0,0.611
AS,636000000.0,11466.0,
AT,455140042000.0,51448.0,0.793
AU,1392680589329.0,54907.0,0.803
AW,3056424581.0,29007.0,
AZ,48047647058.0,4793.0,0.597
BA,20047848434.0,6073.0,0.618
BB,5209000000.0,18148.0,
BD,302571254131.0,1855.0,0.479
BE,542587364000.0,47436.0,0.757
BF,15745810234.0,774.0,0.369
BG,66182565600.0,9440.0,0.676
BH,38574069148.0,23503.0,0.668
BI,3012334881.0,261.0,0.38
BJ,14390709094.0,1219.0,0.406
BN,13469422941.0,31086.0,
BO,40895322865.0,3552.0,
BR,1839758040765.0,8717.0,0.56
BS,12827000000.0,32933.0,
BT,2446674102.0,3243.0,
BW,18340510789.0,7961.0,0.424
BY,63080457022.0,6663.0,
BZ,1879613600.0,4815.0,
CA,1736425629519.0,46194.0,0.799
CD,47319624204.0,545.0,0.369
CF,2220307368.0,467.0,
CG,10820591130.0,2011.0,0.42
CH,703082435360.0,81993.0,0.767
CI,58792205642.0,2286.0,0.353
CL,282318159744.0,14896.0,0.674
CM,38760467033.0,1497.0,0.394
CN,14342902842915.0,10261.0,0.673
CO,323802808108.0,6432.0,0.593
CR,61773944173.0,12238.0,0.619
CU,100023000000.0,8821.0,
CV,1981845740.0,3603.0,
CW,3127908044.0,19573.0,
CY,24942615800.0,28674.0,0.751
CZ,244932977600.0,23010.0,0.782
DE,3946356600000.0,47554.0,0.795
DJ,3318716359.0,3408.0,
DK,355582262000.0,61360.0,0.774
DM,596033333.0,8300.0,
DO,88941298257.0,8282.0,0.492
DZ,169988236398.0,3948.0,0.523
EC,107435665000.0,6183.0,0.602
EE,30722303000.0,23246.0,0.747
EG,303175127597.0,3020.0,0.486
ES,1418587740000.0,30326.0,0.743
ET,96107662398.0,857.0,0.385
FI,276654540000.0,50150.0,0.814
FJ,5535548972.0,6220.0,
FM,401932300.0,3568.0,
FO,2833300519.0,58622.0,
FR,2776646200000.0,41300.0,0.765
GA,16657960228.0,7667.0,0.453
GB,2860009176200.0,43070.0,0.781
GD,1228170370.0,10965.0,
GE,17743195770.0,4769.0,0.614
GH,66983634223.0,2202.0,0.439
GL,3051626389.0,54470.0,
GM,1763819047.0,751.0,0.397
GN,13590281808.0,1064.0,0.374
GQ,11026774945.0,8131.0,
GR,217962048000.0,20296.0,0.681
GT,76710385879.0,4619.0,0.46
GU,5920000000.0,35712.0,
GW,1340389410.0,697.0,
GY,4280443645.0,5468.0,0.495
HK,366029556273.0,48755.0,0.822
HN,25095395475.0,2574.0,0.49
HR,60917594400.0,14868.0,0.723
HT,8498981820.0,754.0,0.446
HU,157862996000.0,16166.0,0.703
ID,1119190780752.0,4135.0,0.535
IE,382365076000.0,78706.0,0.806
IL,395098666121.0,43641.0,0.763
IM,6770532818.0,80989.0,
IN,2875142314811.0,2104.0,0.44
IQ,234094042938.0,5955.0,0.398
IR,445345282122.0,5520.0,0.591
IS,24188035738.0,66944.0,0.74
IT,2083196780000.0,34456.0,0.769
JM,16458071067.0,5582.0,0.544
JO,43743661971.0,4330.0,0.562
JP,5081769542379.0,40246.0,0.844
KE,95503088538.0,1816.0,0.518
KG,8454619607.0,1309.0,0.58
KH,27089389786.0,1643.0,0.493
KI,194647201.0,1655.0,0.479
KM,1185728676.0,1393.0,0.409
KN,1050992592.0,19896.0,
KR,1642383217167.0,31761.0,0.845
KW,134761198945.0,32031.0,0.576
KY,5485419416.0,85477.0,
KZ,180161741180.0,9731.0,0.746
LA,18173839128.0,2534.0,0.452
LB,53367042272.0,7784.0,0.538
LC,2122450629.0,11611.0,
LI,6552858738.0,173356.0,
LK,84008783756.0,3853.0,0.584
LR,3070518100.0,621.0,0.319
LS,2460072443.0,1157.0,0.371
LT,53411968400.0,19116.0,0.712
LU,70862634400.0,116348.0,0.692
LV,34398215400.0,17818.0,0.724
LY,52076250947.0,7683.0,
MA,118725279596.0,3204.0,0.5
MC,7188238072.0,185829.0,
MD,11955435456.0,4498.0,0.58
ME,5494736901.0,8832.0,0.615
MG,14083906356.0,522.0,0.374
MH,221278000.0,3788.0,
MK,12694823394.0,6093.0,0.534
ML,17510141171.0,890.0,0.317
MM,76085852617.0,1407.0,0.473
MN,13852850259.0,4295.0,0.626
MO,53859116535.0,84096.0,0.759
MP,1323000000.0,23258.0,
MR,7593752450.0,1677.0,0.353
MT,14606972200.0,30090.0,0.701
MU,14180444557.0,11203.0,0.626
MV,5729248472.0,10790.0,
MW,7666704427.0,411.0,0.407
MX,1258286717124.0,9863.0,0.607
MY,364701517787.0,11414.0,0.622
MZ,14934159925.0,491.0,0.361
NE,12928145120.0,554.0,0.316
NG,448120428858.0,2229.0,0.342
NI,12520915291.0,1912.0,0.531
NL,913366020000.0,52982.0,0.8
NO,403336363636.0,75419.0,0.771
NP,30641380604.0,1071.0,0.49
NR,118223430.0,9396.0,
NZ,206928765543.0,42084.0,0.767
OM,76983094928.0,15474.0,0.622
PA,66800800000.0,15731.0,0.532
PE,226848050819.0,6977.0,0.586
PG,24969611434.0,2845.0,0.384
PH,376795508679.0,3485.0,0.548
PK,278221906022.0,1284.0,0.389
PL,585705873800.0,15222.0,0.747
PR,104988600000.0,32873.0,
PS,14615900000.0,3198.0,0.554
PT,240597516000.0,23364.0,0.776
PW,283994900.0,15859.0,
PY,38145288939.0,5414.0,0.533
QA,183466208791.0,64781.0,0.615
RO,241475766400.0,12390.0,0.601
RS,51409167350.0,7402.0,0.755
RU,1699876578871.0,11584.0,0.729
RW,10122472590.0,801.0,0.374
SA,792966838161.0,23139.0,0.585
SB,1425074225.0,2127.0,0.443
SC,1698843062.0,17401.0,0.678
SD,18902284475.0,441.0,0.379
SE,556025322000.0,54634.0,0.8
SG,372062527488.0,65233.0,0.884
SI,53990687600.0,26078.0,0.788
SK,105870732800.0,19470.0,0.694
SL,3941474310.0,504.0,0.351
SM,1637931034.0,48481.0,
SN,23578084052.0,1446.0,0.418
SR,3985250737.0,6854.0,
SS,11997800760.0,1119.0,0.302
ST,429016605.0,1994.0,
SV,27022640000.0,4187.0,0.501
SZ,4405405802.0,3837.0,0.409
TC,1022312010.0,27142.0,
TD,11314951342.0,709.0,0.293
TG,5459979416.0,675.0,0.413
TH,543649976165.0,7808.0,0.604
TJ,8116626794.0,870.0,0.533
TL,1673540300.0,1294.0,0.434
TM,40761142857.0,6966.0,
TN,38797709923.0,3317.0,0.508
TO,450353313.0,4364.0,0.512
TR,754411708202.0,9042.0,0.626
TT,24100202833.0,17276.0,0.613
TV,47271463.0,4059.0,0.554
TZ,63177068174.0,1122.0,0.4
UA,153781069118.0,3659.0,0.647
UG,34387229486.0,776.0,0.382
US,21374418877706.0,65118.0,0.762
UY,56045912952.0,16190.0,0.6
UZ,57921286440.0,1724.0,
VC,825385185.0,7463.0,
VI,3855000000.0,35938.0,
VN,261921244843.0,2715.0,0.666
VU,917058850.0,3058.0,0.471
WS,850655017.0,4315.0,
YE,27591261663.0,968.0,0.369
ZA,351431649241.0,6001.0,0.406
ZM,23064722446.0,1291.0,0.396
ZW,21440758800.0,1463.0,0.441
