,date,mob_total,new_confirmed,new_deceased,population,covid_severity
0,2020-02-15,1893.0,2191.0,98.0,7749280755.0,4.091992663904974e-07
1,2020-02-16,967.0,2017.0,139.0,7756777743.0,4.392287768042086e-07
2,2020-02-17,816.0,1940.0,114.0,7757427085.0,3.970388591799442e-07
3,2020-02-18,1059.0,565.0,125.0,7756777743.0,2.3398891397112962e-07
4,2020-02-19,716.0,1202.0,1.0,7756777743.0,1.5625044833774607e-07
5,2020-02-20,1005.0,1144.0,209.0,7757427085.0,4.1689080213894143e-07
6,2020-02-21,744.0,1002.0,3.0,7749280755.0,1.3317364961053086e-07
7,2020-02-22,1013.0,647.0,159.0,7756777743.0,2.883929479633151e-07
8,2020-02-23,1206.0,870.0,76.0,7756777743.0,2.1013880428261228e-07
9,2020-02-24,-328.0,1087.0,63.0,7757427085.0,2.213362731207676e-07
10,2020-02-25,-630.0,1084.0,43.0,7756777743.0,1.9518414091035275e-07
11,2020-02-26,-442.0,1222.0,60.0,7757427085.0,2.3487168877462933e-07
12,2020-02-27,368.0,1772.0,66.0,7756777743.0,3.135322527701307e-07
13,2020-02-28,1223.0,1796.0,41.0,7757427085.0,2.8437263745160936e-07
14,2020-02-29,1522.0,1346.0,69.0,7756777743.0,2.624801260855206e-07
15,2020-03-01,1585.0,2521.0,71.0,7756777743.0,4.1653894272215967e-07
16,2020-03-02,1320.0,2838.0,82.0,7756777743.0,4.715875742734943e-07
17,2020-03-03,1325.0,2281.0,89.0,7749280755.0,4.091992663904974e-07
18,2020-03-04,1276.0,3397.0,88.0,7757427085.0,5.51342597633968e-07
19,2020-03-05,1540.0,3588.0,109.0,7749280755.0,6.036689272074257e-07
20,2020-03-06,1301.0,3402.0,146.0,7756777743.0,6.268066665166018e-07
21,2020-03-07,1916.0,3628.0,130.0,7757427085.0,6.352621746879107e-07
22,2020-03-08,2434.0,4650.0,242.0,7756777743.0,9.114609486368521e-07
23,2020-03-09,-418.0,7031.0,234.0,7756777743.0,1.2081047453572758e-06
24,2020-03-10,182.0,6929.0,330.0,7756777743.0,1.3187176865072645e-06
25,2020-03-11,82.0,9658.0,393.0,7756777743.0,1.7517583267436415e-06
26,2020-03-12,-752.0,11993.0,433.0,7756777743.0,2.104353191598209e-06
27,2020-03-13,-2343.0,12105.0,554.0,7756777743.0,2.274784786237235e-06
28,2020-03-14,-4242.0,12205.0,529.0,7756777743.0,2.255446859462762e-06
29,2020-03-15,-6133.0,15370.0,822.0,7756777743.0,3.041211284065536e-06
30,2020-03-16,-6788.0,18860.0,894.0,7757427085.0,3.5836624302605354e-06
31,2020-03-17,-9859.0,21707.0,963.0,7757427085.0,4.039612574714906e-06
32,2020-03-18,-12435.0,25801.0,1297.0,7757427085.0,4.997920003008317e-06
33,2020-03-19,-14072.0,29578.0,1392.0,7757427085.0,5.607271524873121e-06
34,2020-03-20,-16064.0,32714.0,1740.0,7756777743.0,6.460672415839774e-06
35,2020-03-21,-18814.0,31810.0,2087.0,7756777743.0,6.791479883195101e-06
36,2020-03-22,-22283.0,35344.0,2082.0,7757427085.0,7.240029378890385e-06
37,2020-03-23,-21147.0,44893.0,2433.0,7757427085.0,8.923448360069245e-06
38,2020-03-24,-22050.0,47949.0,2884.0,7757427085.0,9.89877173947037e-06
39,2020-03-25,-23111.0,53199.0,3093.0,7757427085.0,1.084496174803556e-05
40,2020-03-26,-23468.0,61778.0,3494.0,7757427085.0,1.2467793630573326e-05
41,2020-03-27,-24329.0,61300.0,3857.0,7757427085.0,1.2874113917630204e-05
42,2020-03-28,-24733.0,56134.0,3835.0,7757427085.0,1.2179811548947354e-05
43,2020-03-29,-26813.0,57728.0,3883.0,7757427085.0,1.244716823529125e-05
44,2020-03-30,-25659.0,57679.0,4449.0,7757427085.0,1.3170475066089519e-05
45,2020-03-31,-25528.0,72705.0,4966.0,7757427085.0,1.5773915585569437e-05
46,2020-04-01,-25953.0,71634.0,5185.0,7757427085.0,1.5918164443823453e-05
47,2020-04-02,-26466.0,71146.0,5389.0,7756777743.0,1.611958008115381e-05
48,2020-04-03,-26741.0,72167.0,5272.0,7756777743.0,1.6100371073891166e-05
